"Read name"	"Tailfindr"	"Nanopolish"	"Gene Name"
"143e73b1-0642-44a1-9153-03df09676021"	348.2	269.77	"25s"
"1b2161a7-9e92-4d1f-9358-9f416037a407"	345.47	234.81	"25s"
"0f18635a-3f97-4422-b60d-f0a8ca6d4477"	354.31	262.94	"25s"
"0d076254-a09c-4299-b9e9-dc783fc2ee5b"	400.93	295.58	"25s"
"0c9b7887-a2ef-4a10-8104-9010e91782fe"	350.52	281.9	"25s"
"0c2995f8-0bdb-4145-9774-0883f4e778cd"	380.89	247.16	"25s"
"1e0bbb33-fcee-43d0-9054-07aad49ca608"	432.09	337.62	"25s"
"13e81114-7756-4116-b04c-05816538381d"	424.12	311.47	"25s"
"03af3c04-dd20-4a86-ba9d-723f098894ed"	346.04	263.03	"25s"
"130c7e40-cc96-42ec-9fc5-e2b78f9fe323"	374.35	285.04	"25s"
"164ac0b7-ad1c-412e-a8f9-c33fdcc10f1c"	396.46	302.2	"25s"
"0c35e7fb-e384-4fb5-b58f-5362140457b6"	446.56	359.72	"25s"
"14343232-fb2b-454e-9f59-8986b251ed7d"	402.72	280.04	"25s"
"0a03d435-bbac-439c-93c1-179a10e337b8"	466.21	352.86	"25s"
"075730ff-2861-4323-9976-fa836b06b0cb"	396.63	304.16	"25s"
"0be93421-005d-4c2d-ba0a-55de0af6b051"	366.29	246.37	"25s"
"0a786c04-2e4f-47e2-9109-43435b1dc76d"	429.24	320.46	"25s"
"1842e934-1c73-4936-bfeb-cca7e22b1192"	371.19	253.78	"25s"
"018377e6-de03-4781-98bf-7fee4921878e"	374	273.87	"25s"
"1c2a79ca-404c-4a34-bbed-e4a0bea4d152"	539.04	430.04	"25s"
"1c90b8e9-ab54-40aa-851f-10daf41098a8"	338.58	259.18	"25s"
"1ac98c60-3fd9-4b7e-bbe0-ddeb6429e2c9"	414.25	318.15	"25s"
"12598067-57ed-4107-acf2-85cb6f878f85"	430.89	308.65	"25s"
"09f54731-fe2b-4c32-a771-8617116ef5f5"	439.37	343.52	"25s"
"1cebe15a-a236-46b6-bf97-6eb89a3fb895"	322.27	201.86	"25s"
"021f0ddd-1d45-4896-9f0a-147b7c8381f9"	338.19	224.85	"25s"
"098e01ad-0fbc-4762-bb51-aed254a47e32"	441	330.99	"25s"
"1cda02df-720d-4af1-9378-c8fd0d16a887"	437.12	302.6	"25s"
"0847875b-91dc-4525-8cf1-625134ca469d"	419	330.38	"25s"
"1b4becdc-3712-42bf-8de2-6847b1bc9b60"	317.04	209.46	"25s"
"08a2e19b-73ed-4bf0-9905-b8acccb693c9"	361.62	261.49	"25s"
"09f8c5b9-e60c-4087-b685-2fdbbd2971c7"	429.75	313.37	"25s"
"19832a3b-9b67-4a39-b2ba-8d7e3ff00147"	334.25	258.3	"25s"
"18b251cb-da5a-4840-ac26-6a3be8ce58c2"	342.82	264.56	"25s"
"1b8a89a0-36ed-46a2-ae44-8ff6ccffe836"	401.6	256.58	"25s"
"0c43e038-7411-4146-b7ef-40f91932d10c"	317.15	218.62	"25s"
"0fcd56ac-37c0-4524-bd95-3b9efb15a296"	455.21	254.47	"25s"
"0f99b68a-d936-4f62-b0ff-6a3bc48aed3d"	370.04	232.24	"25s"
"1af36b9a-a3a2-4a43-84a7-10e3396aec3b"	289.19	197.21	"25s"
"053a12a0-6cef-44e6-8bb7-70b3f6e5a5f2"	427.36	233.91	"25s"
"1e83f285-0f65-471a-8e7b-dd9b8443d9b8"	61.56	44.97	"25s"
"0008d2e4-0756-48f8-be00-7c19c42d1930"	290.27	211.94	"25s"
"10750a49-24f7-456b-9731-84b87e55f5b7"	444.62	308.03	"25s"
"053dba90-c19c-4426-b946-0213cbda98ad"	397.92	15.03	"25s"
"149cd36d-4301-44b9-a170-b85bf24e0288"	337.23	245.08	"25s"
"0d52d4a5-3a3b-4df2-bc00-4c919033638a"	247.87	141.01	"25s"
"1328e0f1-9afa-4b19-a77c-78f6a64caa31"	309.88	238.86	"25s"
"0d0f451d-76b3-476d-ad7f-c3d5ce131ba8"	323.87	172.71	"25s"
"0f4d8228-4864-478e-8112-30c7853a3788"	375.45	204.35	"25s"
"1629188f-70a9-451c-bf42-6f793101f039"	374.53	176.2	"25s"
"035eee75-8ae1-4923-aecc-bfaf313e3087"	332.38	NA	"25s"
